,reward,action,soc_kwh,generation_kW,load_kW,unmet_kW,spill_kW,charge_kW,discharge_kW
2024-03-01 12:00:00+05:00,-285.0004044360975,0.48195928,25.24134870035321,4.455327420704392,13.53760594572251,2.851004044360975,0.0,0.0,0.0
2024-03-01 13:00:00+05:00,-491.88835883088444,0.10669169,25.24134870035321,1.5328480438419885,13.07023936448792,4.919883588308845,0.0,0.0,0.0
2024-03-01 14:00:00+05:00,-566.588618600381,0.4771697,25.24134870035321,0.0,13.001086332818137,5.66688618600381,0.0,0.0,0.0
2024-03-01 15:00:00+05:00,0.1,0.46311736,25.54765114554485,5.425302552536055,12.070257450069693,0.0,0.0,0.32242362651751666,0.0
2024-03-01 16:00:00+05:00,-106.48375584839744,0.3384451,25.54765114554485,2.6290303680103797,11.55484567023947,1.0658375584839743,0.0,0.0,0.0
2024-03-01 17:00:00+05:00,-0.0,0.5518911,30.316046970125406,8.433362821711155,9.69057182898274,0.0,0.0,5.0193640258742676,0.0
2024-03-01 18:00:00+05:00,-0.0,0.243938,31.693008053010477,5.337654971573626,9.02322383718367,0.0,0.0,1.4494327188263894,0.0
2024-03-01 19:00:00+05:00,-211.157072359481,0.25441962,31.693008053010477,2.507530805272298,8.112930250992074,2.11157072359481,0.0,0.0,0.0
2024-03-01 20:00:00+05:00,-11.209005411757595,1.0,41.19300805301047,26.291857271661033,6.826918296601182,0.0,11.209005411757595,10.0,0.0
2024-03-01 21:00:00+05:00,-0.0,-0.28625536,38.705268894817905,3.6547175313236906,5.880428372134213,0.0,0.0,0.0,2.3633522002829377
2024-03-01 22:00:00+05:00,-131.04737255569248,-0.35961506,34.91984723474598,1.228396786599911,5.292361102944122,1.3104737255569248,0.0,0.0,3.596150577068329
2024-03-01 23:00:00+05:00,-196.21359258500402,-0.3437341,31.301593702537087,2.5625926086707165,4.877100216194772,1.9621359258500402,0.0,0.0,3.4373408555984497
2024-03-02 00:00:00+05:00,-220.73409743771688,-0.29893643,28.154894474752275,3.6161689509097807,3.717349528572031,2.208340974377169,0.0,0.0,2.989364266395569
2024-03-02 01:00:00+05:00,-285.4513174227798,-0.32189697,24.766505313993704,4.407867967904997,3.761564024823059,2.8555131742277986,0.0,0.0,3.218969702720642
2024-03-02 02:00:00+05:00,-166.18139031562924,-0.48634127,19.647123547423462,4.004245071525566,4.143470623493712,1.6618139031562924,0.0,0.0,4.86341267824173
2024-03-02 03:00:00+05:00,-190.61715907759256,-0.5177623,14.196994038451294,4.863029942603121,4.625980091982149,1.9061715907759256,0.0,0.0,5.17762303352356
2024-03-02 04:00:00+05:00,-0.0,-0.5000956,10.312297729653253,8.718470002708374,5.650698499663012,0.0,0.0,0.0,3.6904614933581392
2024-03-02 05:00:00+05:00,-144.37716843379872,-0.55114126,5.0,7.886222715186276,6.686574905371175,0.04579859758713045,0.0,0.0,5.3122977296532525
2024-03-02 06:00:00+05:00,-446.7991910634245,-0.3812485,5.0,8.493404113892945,7.2827019722528785,4.467991910634245,0.0,0.0,0.0
2024-03-02 07:00:00+05:00,-504.56916021004633,-0.3862797,5.0,8.253677522647175,8.213488669102594,5.045691602100463,0.0,0.0,0.0
2024-03-02 08:00:00+05:00,-516.9763079926851,0.13171175,5.0,7.530819504487967,9.178757151501172,5.169763079926851,0.0,0.0,0.0
2024-03-02 09:00:00+05:00,-337.8879639990027,0.16935675,5.0,9.145872751420026,9.357019080676672,3.3788796399900267,0.0,0.0,0.0
2024-03-02 10:00:00+05:00,-378.53275328861537,0.42991418,5.0,7.329104899936549,10.525874584631433,3.7853275328861535,0.0,0.0,0.0
2024-03-02 11:00:00+05:00,-829.941146645027,-0.08365399,5.0,1.6753946816003562,10.774005420239597,8.29941146645027,0.0,0.0,0.0
2024-03-02 12:00:00+05:00,-912.9140616093887,0.35729313,5.0,0.0,10.722781400050874,9.129140616093887,0.0,0.0,0.0
2024-03-02 13:00:00+05:00,-31.328855653941723,0.54443777,5.0,7.298414435473191,10.872505031155983,0.31328855653941723,0.0,0.0,0.0
2024-03-02 14:00:00+05:00,-7.393795810287546,1.0,14.5,24.529198189552908,10.69668350766363,0.0,7.393795810287546,10.0,0.0
2024-03-02 15:00:00+05:00,-0.0,0.4073411,16.242687004701256,7.823452527591894,9.98491210390524,0.0,0.0,1.8344073733697428,0.0
2024-03-02 16:00:00+05:00,-19.008785554793572,0.16577399,16.242687004701256,5.496801261485822,9.488438889313802,0.19008785554793572,0.0,0.0,0.0
2024-03-02 17:00:00+05:00,-258.24147914230207,0.27223933,16.242687004701256,2.1638851909288515,7.891548606460136,2.582414791423021,0.0,0.0,0.0
2024-03-02 18:00:00+05:00,-9.488856149718325,1.0,25.742687004701256,23.8802208273557,7.233455607708223,0.0,9.588856149718325,10.0,0.0
